"","Date","Open","High","Low","Close","Index","Country"
"1","12-30-2016",5699.1,5699.1,5665.8,5665.8,"S&P/ASX 200","Austrilia"
"2","12-29-2016",5685,5699.1,5659,5699.1,"S&P/ASX 200","Austrilia"
"3","12-28-2016",5627.9,5693.8,5627.9,5685,"S&P/ASX 200","Austrilia"
"4","12-23-2016",5643.9,5649.8,5619.1,5627.9,"S&P/ASX 200","Austrilia"
"5","12-22-2016",5613.5,5644.2,5603.4,5643.9,"S&P/ASX 200","Austrilia"
"6","12-21-2016",5591.1,5628,5591.1,5613.5,"S&P/ASX 200","Austrilia"
"7","12-20-2016",5562.1,5606.8,5557.1,5591.1,"S&P/ASX 200","Austrilia"
"8","12-19-2016",5532.9,5577.9,5530.9,5562.1,"S&P/ASX 200","Austrilia"
"9","12-16-2016",5538.6,5549.9,5510,5532.9,"S&P/ASX 200","Austrilia"
"10","12-15-2016",5584.6,5584.6,5517.9,5538.6,"S&P/ASX 200","Austrilia"
"11","12-14-2016",5545,5595.7,5545,5584.6,"S&P/ASX 200","Austrilia"
"12","12-13-2016",5562.8,5573.7,5543.5,5545,"S&P/ASX 200","Austrilia"
"13","12-12-2016",5560.6,5583.2,5552.5,5562.8,"S&P/ASX 200","Austrilia"
"14","12-9-2016",5543.6,5566.1,5541.3,5560.6,"S&P/ASX 200","Austrilia"
"15","12-8-2016",5478.1,5550.2,5478.1,5543.6,"S&P/ASX 200","Austrilia"
"16","12-7-2016",5428.7,5478.1,5428.7,5478.1,"S&P/ASX 200","Austrilia"
"17","12-6-2016",5400.4,5451.3,5400.4,5428.7,"S&P/ASX 200","Austrilia"
"18","12-5-2016",5444,5444,5383.8,5400.4,"S&P/ASX 200","Austrilia"
"19","12-2-2016",5500.2,5500.2,5444,5444,"S&P/ASX 200","Austrilia"
"20","12-1-2016",5440.5,5500.2,5440.5,5500.2,"S&P/ASX 200","Austrilia"
"21","11-30-2016",5457.5,5458.1,5423.2,5440.5,"S&P/ASX 200","Austrilia"
"22","11-29-2016",5464.4,5486.6,5453.3,5457.5,"S&P/ASX 200","Austrilia"
"23","11-28-2016",5507.8,5507.8,5464.4,5464.4,"S&P/ASX 200","Austrilia"
"24","11-25-2016",5485.1,5520.9,5478.9,5507.8,"S&P/ASX 200","Austrilia"
"25","11-24-2016",5484.4,5503.3,5471.8,5485.1,"S&P/ASX 200","Austrilia"
"26","11-23-2016",5413.3,5488.5,5413.3,5484.4,"S&P/ASX 200","Austrilia"
"27","11-22-2016",5351.3,5425.5,5351.3,5413.3,"S&P/ASX 200","Austrilia"
"28","11-21-2016",5359.4,5364,5334.9,5351.3,"S&P/ASX 200","Austrilia"
"29","11-18-2016",5338.5,5366.4,5338.5,5359.4,"S&P/ASX 200","Austrilia"
"30","11-17-2016",5327.7,5344.7,5286.2,5338.5,"S&P/ASX 200","Austrilia"
"31","11-16-2016",5326.2,5346.7,5320.3,5327.7,"S&P/ASX 200","Austrilia"
"32","11-15-2016",5345.7,5345.7,5303.3,5326.2,"S&P/ASX 200","Austrilia"
"33","11-14-2016",5370.7,5370.7,5315.3,5345.7,"S&P/ASX 200","Austrilia"
"34","11-11-2016",5328.8,5370.7,5328.8,5370.7,"S&P/ASX 200","Austrilia"
"35","11-10-2016",5156.6,5328.8,5156.6,5328.8,"S&P/ASX 200","Austrilia"
"36","11-9-2016",5257.8,5314.1,5052.1,5156.6,"S&P/ASX 200","Austrilia"
"37","11-8-2016",5250.8,5282.4,5244.3,5257.8,"S&P/ASX 200","Austrilia"
"38","11-7-2016",5180.8,5251.9,5180.8,5250.8,"S&P/ASX 200","Austrilia"
"39","11-4-2016",5225.6,5225.6,5178,5180.8,"S&P/ASX 200","Austrilia"
"40","11-3-2016",5229,5241.2,5201.5,5225.6,"S&P/ASX 200","Austrilia"
"41","11-2-2016",5290.5,5290.5,5207.7,5229,"S&P/ASX 200","Austrilia"
"42","11-1-2016",5317.7,5317.7,5271.7,5290.5,"S&P/ASX 200","Austrilia"
"43","10-31-2016",5283.8,5329.1,5277.7,5317.7,"S&P/ASX 200","Austrilia"
"44","10-28-2016",5295.5,5311.4,5261.4,5283.8,"S&P/ASX 200","Austrilia"
"45","10-27-2016",5359.8,5374.2,5295.5,5295.5,"S&P/ASX 200","Austrilia"
"46","10-26-2016",5442.8,5442.8,5340.7,5359.8,"S&P/ASX 200","Austrilia"
"47","10-25-2016",5408.5,5455.7,5407.7,5442.8,"S&P/ASX 200","Austrilia"
"48","10-24-2016",5430.3,5430.3,5377.4,5408.5,"S&P/ASX 200","Austrilia"
"49","10-21-2016",5442.1,5446.9,5410.8,5430.3,"S&P/ASX 200","Austrilia"
"50","10-20-2016",5435.4,5457.9,5433.1,5442.1,"S&P/ASX 200","Austrilia"
"51","10-19-2016",5410.8,5438.6,5410.8,5435.4,"S&P/ASX 200","Austrilia"
"52","10-18-2016",5388.7,5417.5,5386.1,5410.8,"S&P/ASX 200","Austrilia"
"53","10-17-2016",5434,5441.2,5388.7,5388.7,"S&P/ASX 200","Austrilia"
"54","10-14-2016",5435.5,5447.2,5430.3,5434,"S&P/ASX 200","Austrilia"
"55","10-13-2016",5474.6,5474.6,5420.8,5435.5,"S&P/ASX 200","Austrilia"
"56","10-12-2016",5479.8,5479.8,5433.6,5474.6,"S&P/ASX 200","Austrilia"
"57","10-11-2016",5475.4,5498,5474.4,5479.8,"S&P/ASX 200","Austrilia"
"58","10-10-2016",5467.4,5494.7,5467.4,5475.4,"S&P/ASX 200","Austrilia"
"59","10-7-2016",5483,5493.1,5457.2,5467.4,"S&P/ASX 200","Austrilia"
"60","10-6-2016",5452.9,5485.8,5452.9,5483,"S&P/ASX 200","Austrilia"
"61","10-5-2016",5484,5484,5439.8,5452.9,"S&P/ASX 200","Austrilia"
"62","10-4-2016",5478.5,5484,5448.3,5484,"S&P/ASX 200","Austrilia"
"63","10-3-2016",5435.9,5492.1,5435.9,5478.5,"S&P/ASX 200","Austrilia"
"64","09-30-2016",5471.3,5471.3,5417.7,5435.9,"S&P/ASX 200","Austrilia"
"65","09-29-2016",5412.4,5473.3,5412.4,5471.3,"S&P/ASX 200","Austrilia"
"66","09-28-2016",5405.9,5435,5399.1,5412.4,"S&P/ASX 200","Austrilia"
"67","09-27-2016",5431.4,5431.4,5372.3,5405.9,"S&P/ASX 200","Austrilia"
