"","Country","Oil Name","Type","Adjusted coefficient(multiply crude oil)","T-value"
"1","Austrilia","BRENT","Petrol",1.37940889657372,141.857977404584
"2","Thailand","BRENT","Petrol",0.23549900383562,242.573127358861
"3","India","BRENT","Petrol",0.697474906256053,119.954861311247
"4","Austrilia","WTI","Petrol",1.54317085443704,156.194380596767
"5","Thailand","WTI","Petrol",0.26283031672869,273.643650667436
"6","India","WTI","Petrol",0.781306761171463,130.593342748238
"7","Austrilia","BRENT","Diesel",1.39783124096982,156.20652009885
"8","Thailand","BRENT","Diesel",0.23549900383562,242.573127358861
"9","India","BRENT","Diesel",0.508424310080973,98.0424400494697
"10","Austrilia","WTI","Diesel",1.56289313329655,173.136038580989
"11","Thailand","WTI","Diesel",0.26283031672869,273.643650667436
"12","India","WTI","Diesel",0.57187019291447,108.426135070192
