"","Date","Open","High","Low","Close","Index","Country"
"1","12-30-2016",3097.35,3108.84,3089.99,3103.64,"SSE Composite Index","China-Shanghai"
"2","12-29-2016",3095.84,3111.8,3087.34,3096.1,"SSE Composite Index","China-Shanghai"
"3","12-28-2016",3113.77,3118.78,3094.55,3102.24,"SSE Composite Index","China-Shanghai"
"4","12-27-2016",3117.39,3127.88,3113.75,3114.66,"SSE Composite Index","China-Shanghai"
"5","12-26-2016",3095.58,3122.88,3068.42,3122.57,"SSE Composite Index","China-Shanghai"
"6","12-23-2016",3134.93,3138.4,3103.75,3110.15,"SSE Composite Index","China-Shanghai"
"7","12-22-2016",3132.16,3143.17,3126.89,3139.56,"SSE Composite Index","China-Shanghai"
"8","12-21-2016",3107.24,3140.25,3107.24,3137.43,"SSE Composite Index","China-Shanghai"
"9","12-20-2016",3115.9,3117.01,3084.8,3102.88,"SSE Composite Index","China-Shanghai"
"10","12-19-2016",3120.7,3125.28,3110.08,3118.08,"SSE Composite Index","China-Shanghai"
"11","12-16-2016",3111.51,3128.87,3106.35,3122.98,"SSE Composite Index","China-Shanghai"
"12","12-15-2016",3125.76,3138.78,3100.91,3117.68,"SSE Composite Index","China-Shanghai"
"13","12-14-2016",3149.38,3170.02,3136.35,3140.53,"SSE Composite Index","China-Shanghai"
"14","12-13-2016",3138.99,3162.5,3118.71,3155.04,"SSE Composite Index","China-Shanghai"
"15","12-12-2016",3233.67,3245.09,3149.9,3152.97,"SSE Composite Index","China-Shanghai"
"16","12-9-2016",3209.34,3244.8,3207.04,3232.88,"SSE Composite Index","China-Shanghai"
"17","12-8-2016",3225.55,3228.12,3211.47,3215.37,"SSE Composite Index","China-Shanghai"
"18","12-7-2016",3198.47,3222.43,3189.48,3222.24,"SSE Composite Index","China-Shanghai"
"19","12-6-2016",3202.03,3215.31,3196.52,3199.65,"SSE Composite Index","China-Shanghai"
"20","12-5-2016",3203.78,3219.52,3194.88,3204.71,"SSE Composite Index","China-Shanghai"
"21","12-2-2016",3270.12,3279.71,3235.28,3243.84,"SSE Composite Index","China-Shanghai"
"22","12-1-2016",3257.03,3279.67,3256.26,3273.31,"SSE Composite Index","China-Shanghai"
"23","11-30-2016",3272.14,3277.27,3239.52,3250.03,"SSE Composite Index","China-Shanghai"
"24","11-29-2016",3269.23,3301.21,3263.4,3282.92,"SSE Composite Index","China-Shanghai"
"25","11-28-2016",3270.05,3288.34,3267.67,3277,"SSE Composite Index","China-Shanghai"
"26","11-25-2016",3241.24,3262.44,3209.6,3261.94,"SSE Composite Index","China-Shanghai"
"27","11-24-2016",3237.43,3257.86,3232.87,3241.74,"SSE Composite Index","China-Shanghai"
"28","11-23-2016",3247.94,3262.88,3231.59,3241.14,"SSE Composite Index","China-Shanghai"
"29","11-22-2016",3220.98,3249.68,3220.98,3248.35,"SSE Composite Index","China-Shanghai"
"30","11-21-2016",3188.5,3229.76,3188.28,3218.15,"SSE Composite Index","China-Shanghai"
"31","11-18-2016",3207.19,3212.39,3187.5,3192.86,"SSE Composite Index","China-Shanghai"
"32","11-17-2016",3198.5,3211.05,3187.21,3208.45,"SSE Composite Index","China-Shanghai"
"33","11-16-2016",3208.5,3210.89,3195.41,3205.06,"SSE Composite Index","China-Shanghai"
"34","11-15-2016",3209.95,3214.29,3195.04,3206.99,"SSE Composite Index","China-Shanghai"
