"","Date","Holiday","Information.Reliability","District","Country"
"476",2016-02-22,"Makha Bucha","Official","National","Thailand"
"477",2016-04-06,"Chakri Day","Official","National","Thailand"
"478",2016-04-13,"Songkran","Official","National","Thailand"
"479",2016-04-14,"Songkran","Official","National","Thailand"
"480",2016-04-15,"Songkran","Official","National","Thailand"
"481",2016-05-01,"Labor Day","Official","National","Thailand"
"482",2016-05-02,"Labor Day","Official","National","Thailand"
"483",2016-05-05,"Coronation Day","Official","National","Thailand"
"484",2016-05-06,"Coronation Day","Official","National","Thailand"
"485",2016-05-09,"Royal Ploughing Ceremony Day","Official","National","Thailand"
"486",2016-05-20,"Visakha Bucha","Official","National","Thailand"
"487",2016-07-18,"Extra holiday","Official","National","Thailand"
"488",2016-07-19,"Asalha Bucha","Official","National","Thailand"
"489",2016-07-20,"Buddhist Lent Day","Official","National","Thailand"
"490",2016-08-12,"The Queen's Birthday","Official","National","Thailand"
"491",2016-10-23,"Chulalongkorn Day","Official","National","Thailand"
"492",2016-10-24,"Chulalongkorn Day","Official","National","Thailand"
"493",2016-12-05,"The King's Birthday","Official","National","Thailand"
"494",2016-12-10,"Constitution Day","Official","National","Thailand"
"495",2016-12-12,"Constitution Day","Official","National","Thailand"
"496",2016-12-31,"New Year's Eve","Official","National","Thailand"
"497",2017-01-01,"New Year's Day","Unofficial","National","Thailand"
"498",2017-01-02,"New Year's Day","Unofficial","National","Thailand"
"499",2017-02-11,"Makha Bucha","Unofficial","National","Thailand"
"500",2017-02-13,"Makha Bucha","Unofficial","National","Thailand"
"501",2017-04-06,"Chakri Day","Unofficial","National","Thailand"
"502",2017-04-13,"Songkran","Unofficial","National","Thailand"
"503",2017-04-14,"Songkran","Unofficial","National","Thailand"
"504",2017-04-15,"Songkran","Unofficial","National","Thailand"
"505",2017-04-16,"Songkran","Unofficial","National","Thailand"
"506",2017-05-01,"Labor Day","Unofficial","National","Thailand"
"507",2017-05-05,"Coronation Day","Unofficial","National","Thailand"
"508",2017-05-10,"Visakha Bucha","Unofficial","National","Thailand"
"509",2017-07-08,"Asalha Bucha","Unofficial","National","Thailand"
"510",2017-07-10,"Asalha Bucha","Unofficial","National","Thailand"
"511",2017-07-11,"Buddhist Lent Day","Unofficial","National","Thailand"
"512",2017-08-14,"The Queen's Birthday","Unofficial","National","Thailand"
"513",2017-10-23,"Chulalongkorn Day","Unofficial","National","Thailand"
"514",2017-12-05,"The King's Birthday","Unofficial","National","Thailand"
"515",2017-12-05,"Constitution Day","Unofficial","National","Thailand"
"516",2017-12-31,"New Year's Eve","Unofficial","National","Thailand"
"517",2012-01-01,"Republic Day/New Year's Day","Official","National","Taiwan"
"518",2012-01-22,"Chinese New Year","Official","National","Taiwan"
"519",2012-01-23,"Chinese New Year","Official","National","Taiwan"
"520",2012-01-24,"Chinese New Year","Official","National","Taiwan"
"521",2012-01-25,"Chinese New Year","Official","National","Taiwan"
"522",2012-01-26,"Chinese New Year","Official","National","Taiwan"
"523",2012-01-27,"Chinese New Year","Official","National","Taiwan"
"524",2012-02-28,"228 Memorial Day","Official","National","Taiwan"
"525",2012-04-04,"Tomb Sweeping Day","Official","National","Taiwan"
"526",2012-05-01,"Labor Day","Official","National","Taiwan"
"527",2012-06-23,"Dragon Boat Festival","Official","National","Taiwan"
"528",2012-09-03,"Armed Forces Day","Official","National","Taiwan"
"529",2012-09-30,"Mid-Autumn Festival","Official","National","Taiwan"
"530",2012-10-10,"National Day/Double Tenth Day","Official","National","Taiwan"
"531",2013-01-01,"Republic Day/New Year's Day","Official","National","Taiwan"
"532",2013-02-09,"Chinese New Year","Official","National","Taiwan"
"533",2013-02-10,"Chinese New Year","Official","National","Taiwan"
"534",2013-02-11,"Chinese New Year","Official","National","Taiwan"
"535",2013-02-12,"Chinese New Year","Official","National","Taiwan"
"536",2013-02-13,"Chinese New Year","Official","National","Taiwan"
"537",2013-02-14,"Chinese New Year","Official","National","Taiwan"
"538",2013-02-28,"228 Memorial Day ","Official","National","Taiwan"
"539",2013-04-04,"Tomb Sweeping Day","Official","National","Taiwan"
"540",2013-05-01,"Labor Day","Official","National","Taiwan"
"541",2013-06-12,"Dragon Boat Festival","Official","National","Taiwan"
"542",2013-09-19,"Mid-Autumn Festival","Official","National","Taiwan"
"543",2013-10-10,"National Day/Double Tenth Day","Official","National","Taiwan"
"544",2014-01-01,"Republic Day/New Year's Day","Official","National","Taiwan"
"545",2014-01-30,"Chinese New Year","Official","National","Taiwan"
"546",2014-01-31,"Chinese New Year","Official","National","Taiwan"
"547",2014-02-01,"Chinese New Year","Official","National","Taiwan"
"548",2014-02-02,"Chinese New Year","Official","National","Taiwan"
"549",2014-02-03,"Chinese New Year","Official","National","Taiwan"
"550",2014-02-04,"Chinese New Year","Official","National","Taiwan"
"551",2014-02-28,"228 Memorial Day","Official","National","Taiwan"
"552",2014-04-04,"Children's Day","Official","National","Taiwan"
"553",2014-04-05,"Tomb Sweeping Day","Official","National","Taiwan"
"554",2014-04-06,"Tomb Sweeping Day holiday","Official","National","Taiwan"
"555",2014-05-01,"Labor Day","Official","National","Taiwan"
"556",2014-05-02,"Labor Day observed","Official","National","Taiwan"
"557",2014-06-02,"Dragon Boat Festival","Official","National","Taiwan"
"558",2014-09-08,"Mid-Autumn Festival","Official","National","Taiwan"
"559",2014-10-10,"National Day/Double Tenth Day","Official","National","Taiwan"
"560",2015-01-01,"Republic Day/New Year's Day","Official","National","Taiwan"
"561",2015-01-02,"Bridge Public Holiday","Official","National","Taiwan"
"562",2015-02-18,"Chinese New Year's Eve","Official","National","Taiwan"
"563",2015-02-19,"Chinese New Year's Day","Official","National","Taiwan"
"564",2015-02-20,"Chinese New Year Holiday","Official","National","Taiwan"
"565",2015-02-21,"Chinese New Year Holiday","Official","National","Taiwan"
"566",2015-02-22,"Chinese New Year Holiday","Official","National","Taiwan"
"567",2015-02-23,"Chinese New Year Holiday","Official","National","Taiwan"
"568",2015-02-27,"228 Memorial Day","Official","National","Taiwan"
"569",2015-02-28,"228 Memorial Day ","Official","National","Taiwan"
"570",2015-04-03,"Children's Day","Official","National","Taiwan"
"571",2015-04-04,"Children's Day","Official","National","Taiwan"
"572",2015-04-05,"Tomb Sweeping Day","Official","National","Taiwan"
"573",2015-04-06,"Tomb Sweeping Day holiday","Official","National","Taiwan"
"574",2015-05-01,"Labor Day","Official","National","Taiwan"
"575",2015-05-02,"Labor Day observed","Official","National","Taiwan"
"576",2015-06-19,"Dragon Boat Festival","Official","National","Taiwan"
"577",2015-06-20,"Dragon Boat Festival holiday","Official","National","Taiwan"
"578",2015-09-26,"Mid-Autumn Festival","Official","National","Taiwan"
"579",2015-09-27,"Mid-Autumn Festival","Official","National","Taiwan"
"580",2015-09-28,"Mid-Autumn Festival","Official","National","Taiwan"
"581",2015-10-10,"National Day/Double Tenth Day","Official","National","Taiwan"
"582",2016-01-01,"Republic Day/New Year's Day","Official","National","Taiwan"
"583",2016-02-07,"Chinese New Year","Official","National","Taiwan"
"584",2016-02-08,"Chinese New Year","Official","National","Taiwan"
"585",2016-02-09,"Chinese New Year","Official","National","Taiwan"
"586",2016-02-10,"Chinese New Year","Official","National","Taiwan"
"587",2016-02-11,"Chinese New Year","Official","National","Taiwan"
"588",2016-02-12,"Chinese New Year","Official","National","Taiwan"
"589",2016-02-28,"228 Memorial Day","Official","National","Taiwan"
"590",2016-02-29,"228 Memorial Day ","Official","National","Taiwan"
"591",2016-04-04,"Children's Day","Official","National","Taiwan"
"592",2016-04-05,"Tomb Sweeping Day","Official","National","Taiwan"
"593",2016-05-01,"Labor Day","Official","National","Taiwan"
"594",2016-05-02,"Labor Day observed","Official","National","Taiwan"
"595",2016-06-09,"Dragon Boat Festival","Official","National","Taiwan"
"596",2016-06-10,"Dragon Boat Festival","Official","National","Taiwan"
"597",2016-09-15,"Mid-Autumn Festival","Official","National","Taiwan"
"598",2016-10-10,"National Day/Double Tenth Day","Official","National","Taiwan"
"599",2017-01-02,"Republic Day/New Year's Day","Unofficial","National","Taiwan"
"600",2017-01-01,"Republic Day/New Year's Day","Unofficial","National","Taiwan"
"601",2017-01-27,"Chinese New Year","Unofficial","National","Taiwan"
"602",2017-01-28,"Chinese New Year","Unofficial","National","Taiwan"
"603",2017-01-29,"Chinese New Year","Unofficial","National","Taiwan"
"604",2017-01-30,"Chinese New Year","Unofficial","National","Taiwan"
"605",2017-01-31,"Chinese New Year","Unofficial","National","Taiwan"
"606",2017-02-01,"Chinese New Year","Unofficial","National","Taiwan"
"607",2017-02-27,"Public Holiday","Unofficial","National","Taiwan"
"608",2017-02-28,"228 Memorial Day","Unofficial","National","Taiwan"
"609",2017-04-03,"Tomb Sweeping Day","Unofficial","National","Taiwan"
"610",2017-05-01,"Labor Day","Unofficial","National","Taiwan"
"611",2017-05-29,"Dragon Boat Festival","Unofficial","National","Taiwan"
"612",2017-05-30,"Dragon Boat Festival","Unofficial","National","Taiwan"
"613",2017-10-04,"Mid-Autumn Festival","Unofficial","National","Taiwan"
"614",2017-10-09,"National Day/Double Tenth Day","Unofficial","National","Taiwan"
"615",2017-10-10,"National Day/Double Tenth Day","Unofficial","National","Taiwan"
"616",2012-01-01,"New Year's Day","Official","National","Philippines"
"617",2012-01-23,"Chinese Lunar New Year's Day","Official","National","Philippines"
"618",2012-04-05,"Maundy Thursday","Official","National","Philippines"
"619",2012-04-06,"Good Friday","Official","National","Philippines"
"620",2012-04-09,"The Day of Valor","Official","National","Philippines"
"621",2012-05-01,"Labor Day","Official","National","Philippines"
"622",2012-06-12,"Independence Day","Official","National","Philippines"
"623",2012-08-21,"Ninoy Aquino Day","Official","National","Philippines"
"624",2012-08-26,"National Heroes Day","Official","National","Philippines"
"625",2012-08-27,"National Heroes Day","Official","National","Philippines"
"626",2012-11-01,"All Saints' Day","Official","National","Philippines"
"627",2012-11-02,"Extra Day for All Saints' Day","Official","National","Philippines"
"628",2012-11-30,"Bonifacio Day","Official","National","Philippines"
"629",2012-12-25,"Christmas Day","Official","National","Philippines"
"630",2012-12-30,"Rizal Day","Official","National","Philippines"
"631",2012-12-31,"New Year's Day","Official","National","Philippines"
"632",2013-01-01,"New Year's Day","Official","National","Philippines"
"633",2013-02-10,"Chinese Lunar New Year's Day","Official","National","Philippines"
"634",2013-03-28,"Maundy Thursday","Official","National","Philippines"
"635",2013-03-29,"Good Friday","Official","National","Philippines"
"636",2013-04-09,"The Day of Valor","Official","National","Philippines"
"637",2013-05-01,"Labor Day","Official","National","Philippines"
"638",2013-06-12,"Independence Day","Official","National","Philippines"
"639",2013-08-21,"Ninoy Aquino Day","Official","National","Philippines"
"640",2013-08-25,"National Heroes Day","Official","National","Philippines"
"641",2013-08-26,"National Heroes Day","Official","National","Philippines"
"642",2013-10-28,"National Elections","Official","National","Philippines"
"643",2013-11-01,"All Saints' Day","Official","National","Philippines"
"644",2013-11-30,"Bonifacio Day","Official","National","Philippines"
"645",2013-12-25,"Christmas Day","Official","National","Philippines"
"646",2013-12-30,"Rizal Day","Official","National","Philippines"
"647",2013-12-31,"New Year's Day","Official","National","Philippines"
"648",2014-01-01,"New Year's Day","Official","National","Philippines"
"649",2014-01-31,"Chinese Lunar New Year's Day","Official","National","Philippines"
"650",2014-04-09,"The Day of Valor","Official","National","Philippines"
"651",2014-04-17,"Maundy Thursday","Official","National","Philippines"
"652",2014-04-18,"Good Friday","Official","National","Philippines"
"653",2014-04-19,"Holy Saturday","Official","National","Philippines"
"654",2014-05-01,"Labor Day","Official","National","Philippines"
"655",2014-06-12,"Independence Day","Official","National","Philippines"
"656",2014-08-21,"Ninoy Aquino Day","Official","National","Philippines"
"657",2014-08-24,"National Heroes Day","Official","National","Philippines"
"658",2014-08-25,"National Heroes Day","Official","National","Philippines"
"659",2014-11-01,"All Saints' Day","Official","National","Philippines"
"660",2014-11-30,"Bonifacio Day","Official","National","Philippines"
"661",2014-12-24,"Christmas Day","Official","National","Philippines"
"662",2014-12-25,"Christmas Day","Official","National","Philippines"
"663",2014-12-26,"Christmas Day","Official","National","Philippines"
"664",2014-12-30,"Rizal Day","Official","National","Philippines"
"665",2014-12-31,"New Year's Day","Official","National","Philippines"
"666",2015-01-01,"New Year's Day","Official","National","Philippines"
"667",2015-01-02,"New Year's Day","Official","National","Philippines"
"668",2015-02-19,"Chinese Lunar New Year's Day","Official","National","Philippines"
"669",2015-04-02,"Maundy Thursday","Official","National","Philippines"
"670",2015-04-03,"Good Friday","Official","National","Philippines"
"671",2015-04-04,"Holy Saturday","Official","National","Philippines"
"672",2015-04-09,"The Day of Valor","Official","National","Philippines"
"673",2015-05-01,"Labor Day","Official","National","Philippines"
"674",2015-06-12,"Independence Day","Official","National","Philippines"
"675",2015-08-21,"Ninoy Aquino Day","Official","National","Philippines"
"676",2015-08-30,"National Heroes Day","Official","National","Philippines"
"677",2015-08-31,"National Heroes Day","Official","National","Philippines"
"678",2015-11-01,"All Saints' Day","Official","National","Philippines"
"679",2015-11-18,"APEC Summit Extra Holiday","Official","National","Philippines"
"680",2015-11-20,"APEC Summit Extra Holiday","Official","National","Philippines"
"681",2015-11-30,"Bonifacio Day","Official","National","Philippines"
"682",2015-12-24,"Christmas Day","Official","National","Philippines"
"683",2015-12-25,"Christmas Day","Official","National","Philippines"
"684",2015-12-30,"Rizal Day","Official","National","Philippines"
"685",2015-12-31,"New Year's Day","Official","National","Philippines"
"686",2016-01-01,"New Year's Day","Official","National","Philippines"
"687",2016-01-02,"New Year's Day","Official","National","Philippines"
"688",2016-02-08,"Chinese Lunar New Year's Day","Official","National","Philippines"
"689",2016-02-25,"People Power Anniversary","Official","National","Philippines"
"690",2016-03-24,"Maundy Thursday","Official","National","Philippines"
"691",2016-03-25,"Good Friday","Official","National","Philippines"
"692",2016-04-09,"The Day of Valor","Official","National","Philippines"
"693",2016-05-01,"Labor Day","Official","National","Philippines"
"694",2016-05-09,"National Elections","Official","National","Philippines"
"695",2016-06-12,"Independence Day","Official","National","Philippines"
"696",2016-08-21,"Ninoy Aquino Day","Official","National","Philippines"
"697",2016-08-28,"National Heroes Day","Official","National","Philippines"
"698",2016-08-29,"National Heroes Day","Official","National","Philippines"
"699",2016-09-10,"Id-ul-Adha","Official","National","Philippines"
"700",2016-09-11,"Id-ul-Adha","Official","National","Philippines"
"701",2016-09-12,"Id-ul-Adha","Official","National","Philippines"
"702",2016-10-31,"Special non-working Day","Official","National","Philippines"
"703",2016-11-01,"All Saints' Day","Official","National","Philippines"
"704",2016-11-30,"Bonifacio Day","Official","National","Philippines"
"705",2016-12-24,"Christmas Day","Official","National","Philippines"
"706",2016-12-25,"Christmas Day","Official","National","Philippines"
"707",2016-12-30,"Rizal Day","Official","National","Philippines"
"708",2016-12-31,"New Year's Day","Official","National","Philippines"
"709",2017-01-01,"New Year’s Day","Official","National","Philippines"
"710",2017-04-09,"Araw ng Kagitingan","Official","National","Philippines"
"711",2017-04-13,"Maundy Thursday","Official","National","Philippines"
"712",2017-04-14,"Good Friday","Official","National","Philippines"
"713",2017-05-01,"Labor Day","Official","National","Philippines"
"714",2017-06-12,"Independence Day","Official","National","Philippines"
"715",2017-08-28,"National Heroes Day","Official","National","Philippines"
"716",2017-11-30,"Bonifacio Day","Official","National","Philippines"
"717",2017-12-25,"Christmas Day","Official","National","Philippines"
"718",2017-12-30,"Rizal Day","Official","National","Philippines"
"719",2017-01-28,"Chinese New Year","Official","National","Philippines"
"720",2017-02-25,"EDSA People Power Revolution Anniversary","Official","National","Philippines"
"721",2017-04-15,"Black Saturday","Official","National","Philippines"
"722",2017-08-21,"Ninoy Aquino Day","Official","National","Philippines"
"723",2017-11-01,"All Saints Day","Official","National","Philippines"
"724",2017-12-31,"Last Day of the Year","Official","National","Philippines"
"725",2017-10-31,"Additional special (non-working) day","Official","National","Philippines"
"726",2012-01-01,"New Year's Day","Official","National","Indonesia"
"727",2012-01-23,"Chinese Lunar New Year's Day","Official","National","Indonesia"
"728",2012-02-05,"The Prophet Muhammad's Birthday","Official","National","Indonesia"
"729",2012-03-23,"Bali's Day of Silence and Hindu New Year","Official","National","Indonesia"
"730",2012-04-06,"Good Friday","Official","National","Indonesia"
"731",2012-05-06,"Waisak Day (Buddha's Anniversary)","Official","National","Indonesia"
"732",2012-05-17,"Ascension Day of Jesus Christ","Official","National","Indonesia"
"733",2012-06-17,"Ascension of the Prophet Muhammad","Official","National","Indonesia"
"734",2012-08-17,"Indonesian Independence Day","Official","National","Indonesia"
"735",2012-08-19,"Idul Fitri Day ","Official","National","Indonesia"
"736",2012-08-20,"Idul Fitri Day ","Official","National","Indonesia"
"737",2012-10-26,"Muslim Day of Sacrifice (Idul Adha)","Official","National","Indonesia"
"738",2012-11-15,"Muharram/Islamic New Year","Official","National","Indonesia"
"739",2012-12-25,"Christmas Day","Official","National","Indonesia"
"740",2013-01-01,"New Year's Day","Official","National","Indonesia"
"741",2013-01-24,"The Prophet Muhammad's Birthday","Official","National","Indonesia"
"742",2013-02-11,"Chinese Lunar New Year's Day","Official","National","Indonesia"
"743",2013-03-12,"Bali's Day of Silence and Hindu New Year","Official","National","Indonesia"
"744",2013-03-29,"Good Friday","Official","National","Indonesia"
"745",2013-05-09,"Ascension Day of Jesus Christ","Official","National","Indonesia"
"746",2013-05-25,"Waisak Day (Buddha's Anniversary)","Official","National","Indonesia"
"747",2013-06-06,"Ascension of the Prophet Muhammad","Official","National","Indonesia"
"748",2013-08-08,"Idul Fitri Day ","Official","National","Indonesia"
"749",2013-08-09,"Idul Fitri Day ","Official","National","Indonesia"
"750",2013-08-17,"Indonesian Independence Day","Official","National","Indonesia"
"751",2013-10-15,"Muslim Day of Sacrifice (Idul Adha)","Official","National","Indonesia"
"752",2013-11-05,"Muharram/Islamic New Year","Official","National","Indonesia"
"753",2013-12-25,"Christmas Day","Official","National","Indonesia"
"754",2014-01-01,"New Year's Day","Official","National","Indonesia"
"755",2014-01-14,"The Prophet Muhammad's Birthday","Official","National","Indonesia"
"756",2014-01-31,"Chinese Lunar New Year's Day","Official","National","Indonesia"
"757",2014-03-31,"Bali's Day of Silence and Hindu New Year","Official","National","Indonesia"
"758",2014-04-09,"Legislative Election Day","Official","National","Indonesia"
"759",2014-04-18,"Good Friday","Official","National","Indonesia"
"760",2014-05-01,"International Labor Day","Official","National","Indonesia"
"761",2014-05-15,"Waisak Day (Buddha's Anniversary)","Official","National","Indonesia"
"762",2014-05-27,"Ascension of the Prophet Muhammad","Official","National","Indonesia"
"763",2014-05-28,"Ascension Day of Jesus Christ","Official","National","Indonesia"
"764",2014-07-09,"Presidential Election Day","Official","National","Indonesia"
"765",2014-07-28,"Idul Fitri Day ","Official","National","Indonesia"
"766",2014-07-29,"Idul Fitri Day ","Official","National","Indonesia"
"767",2014-07-30,"Idul Fitri Day ","Official","National","Indonesia"
"768",2014-07-31,"Idul Fitri Day ","Official","National","Indonesia"
"769",2014-08-01,"Idul Fitri Day ","Official","National","Indonesia"
"770",2014-08-17,"Indonesian Independence Day","Official","National","Indonesia"
"771",2014-10-05,"Muslim Day of Sacrifice (Idul Adha)","Official","National","Indonesia"
"772",2014-10-25,"Muharram/Islamic New Year","Official","National","Indonesia"
"773",2014-12-25,"Christmas Day","Official","National","Indonesia"
"774",2014-12-26,"Christmas Day","Official","National","Indonesia"
"775",2015-01-01,"New Year's Day","Official","National","Indonesia"
"776",2015-01-03,"The Prophet Muhammad's Birthday","Official","National","Indonesia"
"777",2015-02-19,"Chinese Lunar New Year's Day","Official","National","Indonesia"
"778",2015-03-21,"Bali's Day of Silence and Hindu New Year","Official","National","Indonesia"
"779",2015-04-03,"Good Friday","Official","National","Indonesia"
"780",2015-05-01,"International Labor Day","Official","National","Indonesia"
"781",2015-05-14,"Ascension Day of Jesus Christ","Official","National","Indonesia"
"782",2015-05-16,"Ascension of the Prophet Muhammad","Official","National","Indonesia"
"783",2015-06-02,"Waisak Day (Buddha's Anniversary)","Official","National","Indonesia"
"784",2015-07-16,"Idul Fitri Day ","Official","National","Indonesia"
"785",2015-07-17,"Idul Fitri Day ","Official","National","Indonesia"
"786",2015-07-18,"Idul Fitri Day ","Official","National","Indonesia"
"787",2015-07-20,"Idul Fitri Day ","Official","National","Indonesia"
"788",2015-07-21,"Idul Fitri Day ","Official","National","Indonesia"
"789",2015-08-17,"Indonesian Independence Day","Official","National","Indonesia"
"790",2015-09-24,"Muslim Day of Sacrifice (Idul Adha)","Official","National","Indonesia"
"791",2015-10-14,"Muharram/Islamic New Year","Official","National","Indonesia"
"792",2015-12-09,"Regional Election Day","Official","National","Indonesia"
"793",2015-12-24,"Christmas Day","Official","National","Indonesia"
"794",2015-12-25,"Christmas Day","Official","National","Indonesia"
"795",2016-01-01,"New Year's Day","Official","National","Indonesia"
"796",2016-02-08,"Chinese Lunar New Year's Day","Official","National","Indonesia"
"797",2016-03-09,"Bali's Day of Silence and Hindu New Year","Official","National","Indonesia"
"798",2016-03-25,"Good Friday","Official","National","Indonesia"
"799",2016-05-01,"International Labor Day","Official","National","Indonesia"
"800",2016-05-05,"Ascension Day of Jesus Christ","Official","National","Indonesia"
"801",2016-05-06,"Ascension of the Prophet Muhammad","Official","National","Indonesia"
"802",2016-05-22,"Waisak Day (Buddha's Anniversary)","Official","National","Indonesia"
"803",2016-07-04,"Idul Fitri Day ","Official","National","Indonesia"
"804",2016-07-05,"Idul Fitri Day ","Official","National","Indonesia"
"805",2016-07-06,"Idul Fitri Day ","Official","National","Indonesia"
"806",2016-07-07,"Idul Fitri Day ","Official","National","Indonesia"
"807",2016-07-08,"Idul Fitri Day ","Official","National","Indonesia"
"808",2016-08-17,"Indonesian Independence Day","Official","National","Indonesia"
"809",2016-09-12,"Muslim Day of Sacrifice (Idul Adha)","Official","National","Indonesia"
"810",2016-10-02,"Muharram/Islamic New Year","Official","National","Indonesia"
"811",2016-12-12,"The Prophet Muhammad's Birthday","Official","National","Indonesia"
"812",2016-12-25,"Christmas Day","Official","National","Indonesia"
"813",2016-12-26,"Christmas Day","Official","National","Indonesia"
"814",2017-01-01,"New Year's Day","Unofficial","National","Indonesia"
"815",2017-01-28,"Chinese Lunar New Year's Day","Unofficial","National","Indonesia"
"816",2017-03-28,"Bali's Day of Silence and Hindu New Year","Unofficial","National","Indonesia"
"817",2017-04-14,"Good Friday","Unofficial","National","Indonesia"
"818",2017-04-16,"Easter Sunday","Unofficial","National","Indonesia"
"819",2017-04-24,"Ascension of the Prophet Muhammad","Unofficial","National","Indonesia"
"820",2017-05-01,"International Labor Day","Unofficial","National","Indonesia"
"821",2017-05-11,"Waisak Day (Buddha's Anniversary)","Unofficial","National","Indonesia"
"822",2017-05-25,"Ascension Day of Jesus Christ","Unofficial","National","Indonesia"
"823",2017-06-26,"Idul Fitri Day 1","Unofficial","National","Indonesia"
"824",2017-06-27,"Idul Fitri Day 2","Unofficial","National","Indonesia"
"825",2017-08-17,"Indonesian Independence Day","Unofficial","National","Indonesia"
"826",2017-09-02,"Muslim Day of Sacrifice (Idul Adha)","Unofficial","National","Indonesia"
"827",2017-09-22,"Muharram/Islamic New Year","Unofficial","National","Indonesia"
"828",2017-10-19,"Diwali/Deepavali","Unofficial","National","Indonesia"
"829",2017-12-01,"The Prophet Muhammad's Birthday","Unofficial","National","Indonesia"
"830",2017-12-24,"Christmas Eve","Unofficial","National","Indonesia"
"831",2017-12-25,"Christmas Day","Unofficial","National","Indonesia"
"832",2017-12-31,"New Year's Eve","Unofficial","National","Indonesia"
